model_id,country_iso3,currency,base_date,date,price_usd_base,price_usd_now,fx_rate_base,fx_rate_now,rate_type,fx_source_base,fx_source_now,price_local_base,price_local_now,index_local,component_ratecard,component_fx,total_pct,ratecard_basis,partial_series,evidence_status,temporal_status,headline_eligible,weakest_input,formula_version,compiled
Claude Opus 5 (routed),MAR,MAD,2026-01-15,2026-09-18,4.5,4.5,9.2216,9.5119,official,Bank Al-Maghrib,Bank Al-Maghrib,41.4972,42.8036,103.148,0.0,3.099509,3.099509,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Claude Opus 5 (routed),ETH,ETB,2026-01-15,2026-09-18,4.5,4.5,154.899994,160.649994,official,Yahoo Finance (USDETB=X),Yahoo Finance (USDETB=X),697.05,722.925,103.7121,0.0,3.644834,3.644834,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Claude Opus 5 (routed),RWA,RWF,2026-01-15,2026-09-21,4.5,4.5,1447.0,1467.849976,official,Yahoo Finance (USDRWF=X),Yahoo Finance (USDRWF=X),6511.5,6605.3249,101.4409,0.0,1.430628,1.430628,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Claude Opus 5 (routed),SEN,XOF,2026-01-15,2026-09-18,4.5,4.5,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),2524.5,2575.755,102.0303,0.0,2.009967,2.009967,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
Claude Opus 5 (routed),CIV,XOF,2026-01-15,2026-09-18,4.5,4.5,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),2524.5,2575.755,102.0303,0.0,2.009967,2.009967,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Sol,NGA,NGN,2026-01-15,2026-09-18,12.5,10.0,1418.7844,1330.7027,official,Central Bank of Nigeria,Central Bank of Nigeria,17734.805,13307.027,75.0334,-22.314355,-6.40933,-28.723685,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Sol,KEN,KES,2026-01-15,2026-09-18,12.5,10.0,129.03,129.49,official,Central Bank of Kenya,Central Bank of Kenya,1612.875,1294.9,80.2852,-22.314355,0.355872,-21.958483,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Sol,ZAF,ZAR,2026-01-15,2026-09-21,12.5,10.0,16.4105,16.2057,official,South African Reserve Bank,South African Reserve Bank,205.1312,162.057,79.0016,-22.314355,-1.255834,-23.570189,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Sol,GHA,GHS,2026-01-15,2026-09-21,12.5,10.0,10.8,11.48,official,Yahoo Finance (USDGHS=X),Yahoo Finance (USDGHS=X),135.0,114.8,85.037,-22.314355,6.106026,-16.208329,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Sol,EGY,EGP,2026-01-15,2026-09-21,12.5,10.0,47.2692,51.8636,official,Yahoo Finance (USDEGP=X),Central Bank of Egypt,590.865,518.636,87.7757,-22.314355,9.275827,-13.038528,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Sol,MAR,MAD,2026-01-15,2026-09-18,12.5,10.0,9.2216,9.5119,official,Bank Al-Maghrib,Bank Al-Maghrib,115.27,95.119,82.5184,-22.314355,3.099509,-19.214846,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Sol,ETH,ETB,2026-01-15,2026-09-18,12.5,10.0,154.899994,160.649994,official,Yahoo Finance (USDETB=X),Yahoo Finance (USDETB=X),1936.2499,1606.4999,82.9697,-22.314355,3.644834,-18.669521,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Sol,RWA,RWF,2026-01-15,2026-09-21,12.5,10.0,1447.0,1467.849976,official,Yahoo Finance (USDRWF=X),Yahoo Finance (USDRWF=X),18087.5,14678.4998,81.1527,-22.314355,1.430628,-20.883727,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Sol,SEN,XOF,2026-01-15,2026-09-18,12.5,10.0,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),7012.5,5723.9,81.6242,-22.314355,2.009967,-20.304388,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Sol,CIV,XOF,2026-01-15,2026-09-18,12.5,10.0,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),7012.5,5723.9,81.6242,-22.314355,2.009967,-20.304388,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Terra,NGA,NGN,2026-01-15,2026-09-18,6.25,6.25,1418.7844,1330.7027,official,Central Bank of Nigeria,Central Bank of Nigeria,8867.4025,8316.8919,93.7917,0.0,-6.40933,-6.40933,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Terra,KEN,KES,2026-01-15,2026-09-18,6.25,6.25,129.03,129.49,official,Central Bank of Kenya,Central Bank of Kenya,806.4375,809.3125,100.3565,0.0,0.355872,0.355872,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Terra,ZAF,ZAR,2026-01-15,2026-09-21,6.25,6.25,16.4105,16.2057,official,South African Reserve Bank,South African Reserve Bank,102.5656,101.2856,98.752,0.0,-1.255834,-1.255834,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Terra,GHA,GHS,2026-01-15,2026-09-21,6.25,6.25,10.8,11.48,official,Yahoo Finance (USDGHS=X),Yahoo Finance (USDGHS=X),67.5,71.75,106.2963,0.0,6.106026,6.106026,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Terra,EGY,EGP,2026-01-15,2026-09-21,6.25,6.25,47.2692,51.8636,official,Yahoo Finance (USDEGP=X),Central Bank of Egypt,295.4325,324.1475,109.7196,0.0,9.275827,9.275827,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Terra,MAR,MAD,2026-01-15,2026-09-18,6.25,6.25,9.2216,9.5119,official,Bank Al-Maghrib,Bank Al-Maghrib,57.635,59.4494,103.148,0.0,3.099509,3.099509,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Terra,ETH,ETB,2026-01-15,2026-09-18,6.25,6.25,154.899994,160.649994,official,Yahoo Finance (USDETB=X),Yahoo Finance (USDETB=X),968.125,1004.0625,103.7121,0.0,3.644834,3.644834,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Terra,RWA,RWF,2026-01-15,2026-09-21,6.25,6.25,1447.0,1467.849976,official,Yahoo Finance (USDRWF=X),Yahoo Finance (USDRWF=X),9043.75,9174.0624,101.4409,0.0,1.430628,1.430628,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Terra,SEN,XOF,2026-01-15,2026-09-18,6.25,6.25,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),3506.25,3577.4375,102.0303,0.0,2.009967,2.009967,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Terra,CIV,XOF,2026-01-15,2026-09-18,6.25,6.25,561.0,572.39,official,Yahoo Finance (USDXOF=X),BCEAO (Central Bank of West African States),3506.25,3577.4375,102.0303,0.0,2.009967,2.009967,"single observation, no change recorded",yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Luna,NGA,NGN,2026-01-15,2026-09-18,2.5,0.5,1418.7844,1330.7027,official,Central Bank of Nigeria,Central Bank of Nigeria,3546.961,665.3513,18.7583,-160.943791,-6.40933,-167.353121,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Luna,KEN,KES,2026-01-15,2026-09-18,2.5,0.5,129.03,129.49,official,Central Bank of Kenya,Central Bank of Kenya,322.575,64.745,20.0713,-160.943791,0.355872,-160.587919,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Luna,ZAF,ZAR,2026-01-15,2026-09-21,2.5,0.5,16.4105,16.2057,official,South African Reserve Bank,South African Reserve Bank,41.0262,8.1028,19.7504,-160.943791,-1.255834,-162.199625,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Luna,GHA,GHS,2026-01-15,2026-09-21,2.5,0.5,10.8,11.48,official,Yahoo Finance (USDGHS=X),Yahoo Finance (USDGHS=X),27.0,5.74,21.2593,-160.943791,6.106026,-154.837766,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
GPT-5.6 Luna,EGY,EGP,2026-01-15,2026-09-21,2.5,0.5,47.2692,51.8636,official,Yahoo Finance (USDEGP=X),Central Bank of Egypt,118.173,25.9318,21.9439,-160.943791,9.275827,-151.667964,recorded event,yes,derived,measured,False,model price row is trade_reporting,B-1.0,2026-09-21
